Gene.Symbol,qval,LFQ_KO_1,LFQ_KO_2,LFQ_KO_3,LFQ_KO_4,LFQ_WT_1,LFQ_WT_2,LFQ_WT_3,LFQ_WT-4,Ratio_KO.WT,log2FC,Ttest,minuslog_pval
Msrb2,0.00182150,20897000,19067000,20508000,18507000,22322000,40119000,24339000,22773000,0.72092047,-0.47208799,0.17061701,2.55116663
Mcat,0.00000000,636030,1294700,1079800,747800,1485200,4906600,1901200,1412000,0.38725708,-1.36863647,0.17194258,2.54000120
Hibch,0.00000000,84494000,80920000,103470000,97897000,123820000,198160000,114660000,92909000,0.69262901,-0.52984528,0.17241490,2.53604363
Cpt1a,0.00000000,11145000,10446000,7105700,7014500,9611300,12690000,9506700,12706000,0.80224648,-0.31788253,0.17273392,2.53337665
Nudt8,0.00000000,37810000,35740000,42340000,39737000,31389000,27894000,40720000,35555000,1.14804733,0.19918212,0.17359676,2.52618810
Mrpl23,0.00000000,18809000,19845000,17493000,22038000,22747000,35124000,22866000,20721000,0.77061444,-0.37591887,0.17478227,2.51636924
Metap1d,0.00000000,716620,815110,777170,935040,1029800,1001200,978040,740610,0.86513141,-0.20900880,0.17492990,2.51515124
Atpaf2,0.00000000,9077000,16233000,17926000,13109000,12707000,11181000,10570000,7754100,1.33480684,0.41663099,0.17513811,2.51343507
Hspe1,0.00000000,234090000,256130000,288590000,373790000,218700000,0,231780000,265370000,1.61011385,0.68716270,0.17535297,2.51166626
Ecsit,0.00000000,7093200,6344100,8478600,9498800,6331600,8588500,3602000,4892800,1.34165425,0.42401293,0.17672920,2.50038770
Mrpl45,0.00291970,1810400,1884600,1927000,2221700,1864000,1695300,1953700,1438700,1.12831394,0.17416853,0.17679440,2.49985555
Sdhc,0.00000000,172220000,137490000,135380000,92370000,150110000,143180000,175490000,244300000,0.75371627,-0.40790655,0.17693958,2.49867132
mt-Nd4;Mtnd4,0.00000000,413950000,438860000,449700000,339900000,284340000,153500000,230160000,481270000,1.42908977,0.51509654,0.17711352,2.49725375
Acss1,0.00000000,364150000,428690000,652850000,617730000,498300000,329210000,297490000,414090000,1.34067533,0.42295991,0.17723878,2.49623383
Cyb5b,0.00000000,32505000,38498000,48500000,37010000,54663000,40953000,40166000,50852000,0.83860926,-0.25392934,0.17854843,2.48561263
Tamm41,0.00000000,1071800,933280,863310,1017000,912940,996270,0,308370,1.75208561,0.80907327,0.18033692,2.47123333
Ndufa7,0.00000000,84833000,37825000,26984000,19462000,47649000,212990000,97310000,69191000,0.39589830,-1.33679822,0.18034445,2.47117306
Them4,0.00288600,11726000,6244100,8840200,10635000,6217100,2563900,9369500,7812500,1.44225629,0.52832755,0.18087917,2.46690182
Pxmp2,0.00000000,23368000,13500000,15509000,20166000,10717000,5237800,13156000,20185000,1.47158582,0.55737168,0.18389856,2.44301788
Cdh13,0.00535480,2026200,1719400,2204100,1788800,0,0,2402700,1371100,2.05058562,1.03603598,0.18786590,2.41222484
Ndufa12,0.00000000,413080000,358230000,307990000,220740000,367210000,927630000,473980000,411830000,0.59617087,-0.74620222,0.18792182,2.41179551
Ndufs8,0.00000000,523680000,486360000,528710000,511600000,322900000,425810000,413080000,558830000,1.19163441,0.25294169,0.18824754,2.40929706
